_id,location_district,location_street,location_title,room_area,room_orientation,room_type,price,avg_price
ObjectId(5bd67b83947dc406bc9443d8),GuLou,草场门大街,宁工新寓一村,60,南 北,2室1厅,3100,51.666666666666664
ObjectId(5bd67b83947dc406bc9443da),GuLou,草场门大街,高教新村,98.42,南,3室1厅,4500,45.72241414346677
ObjectId(5bd67b83947dc406bc9443dc),GuLou,草场门大街,辰龙雅苑,39,东,1室1厅,3000,76.92307692307692
ObjectId(5bd67b83947dc406bc9443de),GuLou,草场门大街,辰龙雅苑,42.14,西,1室1厅,2900,68.81822496440437
ObjectId(5bd67b83947dc406bc9443e0),GuLou,草场门大街,辰龙雅苑,43,南,1室1厅,2600,60.46511627906977
ObjectId(5bd67b83947dc406bc9443e2),GuLou,草场门大街,宁工新寓二村,62,南,2室1厅,3600,58.064516129032256
ObjectId(5bd67b83947dc406bc9443e4),GuLou,草场门大街,宁工新寓一村,80.14,南,3室1厅,3800,47.41702021462441
ObjectId(5bd67b83947dc406bc9443e6),GuLou,草场门大街,金湾花园,83,南,3室1厅,3800,45.78313253012048
ObjectId(5bd67b83947dc406bc9443e8),GuLou,草场门大街,华保新寓,78,南 北,3室2厅,1200,15.384615384615385
ObjectId(5bd67b83947dc406bc9443ea),GuLou,草场门大街,华保新寓,40,南,1室1厅,3000,75
ObjectId(5bd67b83947dc406bc9443ec),GuLou,草场门大街,辰龙雅苑,42,东,1室1厅,3000,71.42857142857143
ObjectId(5bd67b83947dc406bc9443ee),GuLou,草场门大街,宁工新寓一村,110,南,3室2厅,4000,36.36363636363637
ObjectId(5bd67b83947dc406bc9443f0),GuLou,草场门大街,江滨新寓,57.38,南 北,2室1厅,2700,47.05472289996514
ObjectId(5bd67b83947dc406bc9443f2),GuLou,草场门大街,宁工新寓二村,50.27,南,2室1厅,3600,71.61328824348517
ObjectId(5bd67b83947dc406bc9443f4),GuLou,草场门大街,辰龙雅苑,42.8,东,1室1厅,3100,72.42990654205607
ObjectId(5bd67b83947dc406bc9443f6),GuLou,草场门大街,宁工新寓二村,80,南,3室1厅,4000,50
ObjectId(5bd67b83947dc406bc9443f8),GuLou,草场门大街,高教新村,96.87,南,3室1厅,1200,12.387736141220191
ObjectId(5bd67b83947dc406bc9443fa),GuLou,草场门大街,宁工新寓一村,55,南 北,2室1厅,3000,54.54545454545455
ObjectId(5bd67b83947dc406bc9443fc),GuLou,草场门大街,舸舫园创业社区,58,南,2室1厅,3500,60.3448275862069
